"county","year","round"
"McMinn",2015,"7.93"
"McMinn",2016,"6.94"
"McMinn",2017,"5.91"
"McMinn",2018,"5.81"
"McNairy",2015,"5.18"
"McNairy",2016,"4.36"
"McNairy",2017,"3.55"
"McNairy",2018,"3.22"
"Meigs",2015,"4.83"
"Meigs",2016,"3.96"
"Meigs",2017,"3.09"
"Meigs",2018,"2.73"
"Monroe",2015,"5.87"
"Monroe",2016,"4.94"
"Monroe",2017,"3.99"
"Monroe",2018,"3.76"
"Montgomery",2015,"7.23"
"Montgomery",2016,"6.19"
"Montgomery",2017,"4.76"
"Montgomery",2018,"4.24"
"Moore",2015,"8.86"
"Moore",2016,"6.55"
"Moore",2017,"5.16"
"Moore",2018,"4.95"
"Morgan",2015,"7.77"
"Morgan",2016,"6.30"
"Morgan",2017,"5.28"
"Morgan",2018,"4.70"
"Obion",2015,"5.51"
"Obion",2016,"4.68"
"Obion",2017,"3.68"
"Obion",2018,"3.41"
"Overton",2015,"6.42"
"Overton",2016,"5.22"
"Overton",2017,"4.16"
"Overton",2018,"3.84"
"Perry",2015,"7.07"
"Perry",2016,"5.91"
"Perry",2017,"4.67"
"Perry",2018,"4.36"
"Pickett",2015,"4.39"
"Pickett",2016,"3.60"
"Pickett",2017,"2.82"
"Pickett",2018,"2.63"
"Polk",2015,"7.88"
"Polk",2016,"6.86"
"Polk",2017,"5.25"
"Polk",2018,"4.76"
"Putnam",2015,"6.86"
"Putnam",2016,"5.54"
"Putnam",2017,"4.83"
"Putnam",2018,"4.43"
"Rhea",2015,"5.45"
"Rhea",2016,"4.33"
"Rhea",2017,"3.38"
"Rhea",2018,"3.01"
"Roane",2015,"7.18"
"Roane",2016,"6.18"
"Roane",2017,"4.86"
"Roane",2018,"4.58"
"Robertson",2015,"6.18"
"Robertson",2016,"5.01"
"Robertson",2017,"4.03"
"Robertson",2018,"3.73"
"Rutherford",2015,"7.28"
"Rutherford",2016,"6.14"
"Rutherford",2017,"4.56"
"Rutherford",2018,"4.17"
"Scott",2015,"5.83"
"Scott",2016,"4.85"
"Scott",2017,"3.95"
"Scott",2018,"3.75"
"Sequatchie",2015,"6.43"
"Sequatchie",2016,"4.94"
"Sequatchie",2017,"3.97"
